NODE_ID,NODE_TYPE,NODE_NAME,TURN_P,REMARK,x,y
0,0,0,0,0,0.0,0.0
1,0,0,0,0,0.0,1.0
2,0,0,0,0,0.0,2.0
3,0,0,0,0,0.0,3.0
4,0,0,0,0,0.0,4.0
10,0,0,0,0,1.0,0.0
11,0,0,0,0,1.0,1.0
12,0,0,0,0,1.0,2.0
13,0,0,0,0,1.0,3.0
14,0,0,0,0,1.0,4.0
20,0,0,0,0,2.0,0.0
21,0,0,0,0,2.0,1.0
22,0,0,0,0,2.0,2.0
23,0,0,0,0,2.0,3.0
24,0,0,0,0,2.0,4.0
30,0,0,0,0,3.0,0.0
31,0,0,0,0,3.0,1.0
32,0,0,0,0,3.0,2.0
33,0,0,0,0,3.0,3.0
34,0,0,0,0,3.0,4.0
40,0,0,0,0,4.0,0.0
41,0,0,0,0,4.0,1.0
42,0,0,0,0,4.0,2.0
43,0,0,0,0,4.0,3.0
44,0,0,0,0,4.0,4.0
