LINK_ID,F_NODE,T_NODE,LANES_,ROAD_RANK_,ROAD_TYPE_,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,MAX_SPD_,REST_VEH_,REST_W_,REST_H_,LENGTH,REMARK_
1,1,2,LANES_,ROAD_RANK_,1,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,120,REST_VEH_,REST_W_,REST_H_,7500,REMARK_
2,2,1,LANES_,ROAD_RANK_,1,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,120,REST_VEH_,REST_W_,REST_H_,7500,REMARK_
3,1,3,LANES_,ROAD_RANK_,1,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,120,REST_VEH_,REST_W_,REST_H_,9000,REMARK_
4,3,1,LANES_,ROAD_RANK_,1,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,120,REST_VEH_,REST_W_,REST_H_,9000,REMARK_
5,1,5,LANES_,ROAD_RANK_,1,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,80,REST_VEH_,REST_W_,REST_H_,7500,REMARK_
6,5,1,LANES_,ROAD_RANK_,1,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,80,REST_VEH_,REST_W_,REST_H_,7500,REMARK_
7,3,8,LANES_,ROAD_RANK_,1,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,120,REST_VEH_,REST_W_,REST_H_,4500,REMARK_
8,8,3,LANES_,ROAD_RANK_,1,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,120,REST_VEH_,REST_W_,REST_H_,4500,REMARK_
9,11,8,LANES_,ROAD_RANK_,1,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,120,REST_VEH_,REST_W_,REST_H_,15000,REMARK_
10,8,11,LANES_,ROAD_RANK_,1,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,120,REST_VEH_,REST_W_,REST_H_,15000,REMARK_
11,11,12,LANES_,ROAD_RANK_,1,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,120,REST_VEH_,REST_W_,REST_H_,7500,REMARK_
12,12,11,LANES_,ROAD_RANK_,1,ROAD_NO_,ROAD_NAME_,ROAD_USE_,MULTILINK,CONNECT_,120,REST_VEH_,REST_W_,REST_H_,7500,REMARK_
